age,credit_group,estimate,std_error,conf_low,conf_high,gradient
34,men-coded,0.0598687758762429,0.00121144400079385,0.0574943456346869,0.0622432061177988,0.0551543169185208|0|0.0425823451124574|0.00767956323415743|0.00492211807261693|-0.0027038581997907|0.0100860903739659|0.0199545107648555|-0.000539638537777685|1.4379653730075|0.0753803742514403|0|0|0|0
34,women-coded,0.0728629301114791,0.00154368112964709,0.0698373150973708,0.0758885451255874,0.0659215433407795|0.0659215433407795|0.0508952710452346|0.00917876766249583|0.00588301402285145|-0.0032317054305675|0.0120567593293283|0.023854912429366|-0.000624916181978458|1.71644085847936|0.0903844005919603|0.0508952710452346|0.00917876766249583|0.00588301402285145|-0.0032317054305675
35,men-coded,0.0588753937213023,0.00112180593916713,0.0566766540805347,0.0610741333620699,0.0543042747991331|0|0.0396201082448299|0.0112785019108287|0.00481896802615448|-0.00252407263993501|0.00994005115179574|0.0196113461165676|-0.00050243360815629|1.43533953164294|0.0740976345330787|0|0|0|0
35,women-coded,0.0695872168071271,0.00146053733266562,0.0667245636351025,0.0724498699791517,0.0632335389398407|0.0632335389398407|0.0461348515704725|0.013133028521225|0.0056113520244736|-0.00293910647282716|0.0115758365936568|0.0228406115483799|-0.000569344013194229|1.66939520472494|0.0865074847479963|0.0461348515704725|0.013133028521225|0.0056113520244736|-0.00293910647282716
36,men-coded,0.0565794100956744,0.00109526345958488,0.054432693714888,0.0587261264764607,0.052353274462963|0|0.0349969586787835|0.0143316046428933|0.00524667381281121|-0.00253925524402789|0.00958268585728786|0.0189059435838263|-0.000487182196864662|1.38412078126372|0.0713956566155465|0|0|0|0
36,women-coded,0.0647836941482617,0.00148534391244667,0.0618724200798663,0.0676949682166572,0.0592644877124378|0.0592644877124378|0.0396169456231196|0.016223535508923|0.00593929298406145|-0.00287446511707488|0.0108486893981937|0.021405041501393|-0.000540194468595333|1.56543140469037|0.0809823437997952|0.0396169456231196|0.016223535508923|0.00593929298406145|-0.00287446511707488
37,men-coded,0.0538463998378904,0.00114068358402914,0.0516106600131933,0.0560821396625875,0.0500137187999399|0|0.0298625793637421|0.0167467310701833|0.00595969867556629|-0.00259317949046087|0.00915417105990169|0.0180601378666386|-0.00046860035178149|1.32266493482846|0.068159918982055|0|0|0|0
37,women-coded,0.0596926259511658,0.00158150775736326,0.0565928707467338,0.0627923811555977,0.0549955394658928|0.0549955394658928|0.0328371635095051|0.0184148575949538|0.00655333879546123|-0.00285148372150155|0.0100666743133517|0.0198612944427417|-0.000507783680937253|1.45348030446889|0.0750557826430452|0.0328371635095051|0.0184148575949538|0.00655333879546123|-0.00285148372150155
38,men-coded,0.050622837776433,0.00120260218939237,0.048265737485224,0.0529799380676421,0.0472301198907612|0|0.0247395866094463|0.01834458731072|0.00666240266682687|-0.00251645669623204|0.0086443570876164|0.0170539167982211|-0.000446079581596479|1.24949350627014|0.0643161343611012|0|0|0|0
38,women-coded,0.0544245304872326,0.00165078592374511,0.0511889900766921,0.057660070897773,0.0505101812732827|0.0505101812732827|0.0264577140002909|0.0196185915384323|0.00712509659504071|-0.00269122086048124|0.00924510145698538|0.0182396134887061|-0.000472570054225918|1.33570940726663|0.0688461608921275|0.0264577140002909|0.0196185915384323|0.00712509659504071|-0.00269122086048124
39,men-coded,0.0469183420061654,0.00122206167138424,0.0445231011302523,0.0493135828820786,0.0439988513560353|0|0.0200449312479458|0.0190243778868824|0.00713542943211808|-0.00220588721091105|0.0080525972691328|0.015886029927406|-0.000419381703035076|1.16448512771877|0.0598623184210941|0|0|0|0
39,women-coded,0.0490938786621773,0.00163316741539884,0.0458928705279956,0.0522948867963591,0.0459006815129434|0.0459006815129434|0.0209113642016612|0.0198466978899415|0.00744385509456734|-0.00230123567322661|0.00840088395801178|0.0165733933763687|-0.000435167118363851|1.21452752853739|0.0624826550073208|0.0209113642016612|0.0198466978899415|0.00744385509456734|-0.00230123567322661
40,men-coded,0.0428675710824615,0.0011878127459116,0.0405394581004748,0.0451956840644483,0.040425709571528|0|0.0159093701580197|0.0188675672274444|0.00734938590017393|-0.00170061371411001|0.00739828499298664|0.0145947764312745|-0.000389173483169961|1.07039723634576|0.0549472479378624|0|0|0|0
40,women-coded,0.0438243880543976,0.00154266499427189,0.0408007646656247,0.0468480114431705,0.0412734731902229|0.0412734731902229|0.0162430040103199|0.0192632371424129|0.00750350915618982|-0.00173627711869974|0.0075535216827|0.0149011205089187|-0.00039640533345755|1.0927285904335|0.0561124630473013|0.0162430040103199|0.0192632371424129|0.00750350915618982|-0.00173627711869974
41,men-coded,0.0386288535210844,0.00111687504197873,0.0364397784388061,0.0408179286033627,0.036641978220163|0|0.0123636033358962|0.0180235637583716|0.00732888607960565|-0.00107407495371049|0.00670547570636551|0.0132276457049861|-0.000356410636097018|0.970667562958262|0.049753643783513|0|0|0|0
