credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
women-coded,film,29,3990,2845,0.713032581453634,0.692286741475106,1.02996712017671
women-coded,film,30,3956,2783,0.703488372093023,0.692286741475106,1.01618062277785
women-coded,film,31,3856,2672,0.692946058091286,0.692286741475106,1.00095237504444
women-coded,film,32,3730,2618,0.701876675603217,0.692286741475106,1.01385254628404
women-coded,film,33,3458,2377,0.687391555812608,0.692286741475106,0.992928962279319
women-coded,film,34,3358,2259,0.672721858248958,0.692286741475106,0.971738757867209
women-coded,film,35,3084,2112,0.684824902723736,0.692286741475106,0.989221462286752
women-coded,film,36,2871,1990,0.693138279345176,0.692286741475106,1.0012300363694
women-coded,film,37,2655,1829,0.688888888888889,0.692286741475106,0.995091842176585
women-coded,film,38,2497,1768,0.70804965959151,0.692286741475106,1.02276934855464
women-coded,film,39,2356,1652,0.701188455008489,0.692286741475106,1.01285841978486
women-coded,film,40,2235,1581,0.707382550335571,0.692286741475106,1.02180571713435
women-coded,film,41,2215,1514,0.68352144469526,0.692286741475106,0.987338632600171
women-coded,film,42,1986,1372,0.690835850956697,0.692286741475106,0.997904205827606
women-coded,film,43,1935,1338,0.691472868217054,0.692286741475106,0.998824369716632
women-coded,film,44,1875,1305,0.696,0.692286741475106,1.0053637579668
women-coded,film,45,1741,1211,0.695577254451465,0.692286741475106,1.00475310702809
women-coded,film,46,1673,1209,0.722653915122534,0.692286741475106,1.04386502272559
women-coded,film,47,1621,1149,0.708821714990746,0.692286741475106,1.02388457343616
women-coded,film,48,1469,1033,0.703199455411845,0.692286741475106,1.01576328605324
women-coded,film,49,1371,944,0.688548504741065,0.692286741475106,0.994600161305883
women-coded,film,50,1265,890,0.703557312252965,0.692286741475106,1.0162802060225
women-coded,film,51,1256,879,0.69984076433121,0.692286741475106,1.01091169656089
women-coded,film,52,1155,818,0.708225108225108,0.692286741475106,1.02302278202821
women-coded,film,53,1145,808,0.705676855895197,0.692286741475106,1.01934186171406
women-coded,film,54,1077,734,0.681522748375116,0.692286741475106,0.984451539434289
women-coded,film,55,1014,684,0.674556213017752,0.692286741475106,0.9743884616083
women-coded,film,56,959,656,0.684045881126173,0.692286741475106,0.988096174814249
women-coded,film,57,967,638,0.659772492244054,0.692286741475106,0.95303355201954
women-coded,film,58,851,583,0.685076380728555,0.692286741475106,0.989584719286711
women-coded,film,59,829,577,0.696019300361882,0.692286741475106,1.00539163711098
women-coded,film,60,737,469,0.636363636363636,0.692286741475106,0.919219736907989
women-coded,film,61,789,521,0.660329531051965,0.692286741475106,0.953838187981113
women-coded,film,62,661,422,0.638426626323752,0.692286741475106,0.922199701475446
women-coded,film,63,658,454,0.689969604863222,0.692286741475106,0.996652923603669
women-coded,film,64,612,390,0.637254901960784,0.692286741475106,0.920507159508701
women-coded,film,65,619,393,0.634894991922456,0.692286741475106,0.917098297404394
women-coded,film,66,557,362,0.649910233393178,0.692286741475106,0.938787635898336
women-coded,film,67,520,333,0.640384615384615,0.692286741475106,0.925027993487353
women-coded,film,68,523,327,0.625239005736138,0.692286741475106,0.903150339704463
women-coded,film,69,447,280,0.626398210290828,0.692286741475106,0.90482479695641
women-coded,film,70,424,266,0.627358490566038,0.692286741475106,0.90621191044231
women-coded,film,71,373,224,0.600536193029491,0.692286741475106,0.867467419280462
women-coded,film,72,385,219,0.568831168831169,0.692286741475106,0.821669887276937
women-coded,film,73,353,192,0.543909348441926,0.692286741475106,0.785670612848917
women-coded,film,74,301,160,0.53156146179402,0.692286741475106,0.767834236809711
women-coded,film,75,286,171,0.597902097902098,0.692286741475106,0.863662500061902
men-coded,overall,18,2192,1730,0.789233576642336,0.825695700064426,0.95584072507675
men-coded,overall,19,2629,2044,0.777481932293648,0.825695700064426,0.941608309493417
men-coded,overall,20,3078,2457,0.798245614035088,0.825695700064426,0.966755202882616
men-coded,overall,21,3700,2940,0.794594594594595,0.825695700064426,0.962333453513922
men-coded,overall,22,4416,3520,0.797101449275362,0.825695700064426,0.965369505028508
men-coded,overall,23,5103,4136,0.81050362531844,0.825695700064426,0.981600879422285
men-coded,overall,24,6009,4843,0.805957730071559,0.825695700064426,0.976095346032047
men-coded,overall,25,6888,5592,0.81184668989547,0.825695700064426,0.983227464830112
men-coded,overall,26,7580,6210,0.819261213720317,0.825695700064426,0.992207194074515
men-coded,overall,27,8122,6651,0.81888697365181,0.825695700064426,0.991753951955805
men-coded,overall,28,8660,7079,0.81743648960739,0.825695700064426,0.989997270839134
men-coded,overall,29,8955,7382,0.824343941931882,0.825695700064426,0.998362885827746
men-coded,overall,30,9345,7698,0.823756019261637,0.825695700064426,0.997650852726207
men-coded,overall,31,9537,7842,0.822271154451085,0.825695700064426,0.995852533066269
men-coded,overall,32,9677,7983,0.824945747649065,0.825695700064426,0.999091732686384
men-coded,overall,33,9812,8130,0.828577252344069,0.825695700064426,1.00348984774829
men-coded,overall,34,9746,8077,0.828750256515493,0.825695700064426,1.00369937308724
men-coded,overall,35,9543,7946,0.832652205805302,0.825695700064426,1.00842502357749
men-coded,overall,36,9550,7993,0.83696335078534,0.825695700064426,1.01364625093728
men-coded,overall,37,9403,7916,0.84185898117622,0.825695700064426,1.01957534853401
men-coded,overall,38,9376,7826,0.834684300341297,0.825695700064426,1.01088609311659
men-coded,overall,39,9221,7706,0.835701117015508,0.825695700064426,1.01211755971395
men-coded,overall,40,9082,7620,0.839022241796961,0.825695700064426,1.01613977368599
men-coded,overall,41,8780,7434,0.846697038724374,0.825695700064426,1.02543471966526
men-coded,overall,42,8636,7286,0.843677628531728,0.825695700064426,1.02177791220894
men-coded,overall,43,8281,6985,0.843497162178481,0.825695700064426,1.02155934942215
men-coded,overall,44,8166,6879,0.842395297575312,0.825695700064426,1.02022488128445
men-coded,overall,45,7901,6628,0.838881154284268,0.825695700064426,1.01596890261002
men-coded,overall,46,7584,6342,0.83623417721519,0.825695700064426,1.01276314888153
men-coded,overall,47,7346,6109,0.831609038932753,0.825695700064426,1.00716164425692
men-coded,overall,48,6961,5854,0.840971124838385,0.825695700064426,1.0185000657903
men-coded,overall,49,6757,5701,0.843717626165458,0.825695700064426,1.02182635334013
men-coded,overall,50,6469,5434,0.84000618333591,0.825695700064426,1.01733142520951
men-coded,overall,51,6110,5078,0.831096563011457,0.825695700064426,1.00654098470733
men-coded,overall,52,5971,4978,0.833696198291744,0.825695700064426,1.00968940279899
men-coded,overall,53,5680,4752,0.836619718309859,0.825695700064426,1.01323007767217
men-coded,overall,54,5474,4533,0.828096455973694,0.825695700064426,1.00290755530043
men-coded,overall,55,5131,4285,0.835119859676476,0.825695700064426,1.01141359899454
men-coded,overall,56,5039,4202,0.833895614209169,0.825695700064426,1.00993091540152
men-coded,overall,57,4754,3928,0.826251577618847,0.825695700064426,1.00067322326419
men-coded,overall,58,4517,3702,0.819570511401373,0.825695700064426,0.992581784472687
men-coded,overall,59,4195,3470,0.827175208581645,0.825695700064426,1.00179183265349
men-coded,overall,60,4080,3305,0.810049019607843,0.825695700064426,0.981050306480508
men-coded,overall,61,3800,3090,0.813157894736842,0.825695700064426,0.984815464914489
men-coded,overall,62,3637,2904,0.798460269452846,0.825695700064426,0.967015172042854
men-coded,overall,63,3364,2691,0.799940546967895,0.825695700064426,0.968807936029555
