credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
women-coded,film,31,13225,13225,3393,5019,0.2565595463138,0.379508506616257,0.254360442740806,1.00864561937893
women-coded,film,32,13195,13195,3375,4862,0.255778704054566,0.368472906403941,0.254360442740806,1.00557579354116
women-coded,film,33,12909,12909,3221,4631,0.249515841660857,0.35874196297157,0.254360442740806,0.980953795221667
women-coded,film,34,12448,12448,3073,4427,0.246866966580977,0.355639460154242,0.254360442740806,0.970539931134399
women-coded,film,35,12167,12167,2933,4278,0.241061888715378,0.351606805293006,0.254360442740806,0.947717680146597
women-coded,film,36,11656,11656,2774,3941,0.237989018531229,0.338109128345916,0.254360442740806,0.935636909445626
women-coded,film,37,11005,11005,2572,3652,0.233711949114039,0.331849159472967,0.254360442740806,0.91882191505773
women-coded,film,38,10396,10396,2367,3422,0.227683724509427,0.329165063485956,0.254360442740806,0.895122378527377
women-coded,film,39,9779,9779,2268,3191,0.2319255547602,0.326311483791799,0.254360442740806,0.911798832637406
women-coded,film,40,9142,9142,2165,3095,0.236819076788449,0.338547363815358,0.254360442740806,0.931037366646544
women-coded,film,41,8533,8533,2039,2923,0.238954646665885,0.342552443454822,0.254360442740806,0.939433207817542
women-coded,film,42,8176,8176,1938,2735,0.237035225048924,0.334515655577299,0.254360442740806,0.931887138168192
women-coded,film,43,7775,7775,1841,2605,0.236784565916399,0.335048231511254,0.254360442740806,0.930901689606206
women-coded,film,44,7403,7403,1821,2624,0.245981358908551,0.354450898284479,0.254360442740806,0.967058227521669
women-coded,film,45,7051,7051,1667,2395,0.236420365905545,0.339668132179833,0.254360442740806,0.929469863151868
