credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
women-coded,overall,31,20718,20718,8093,14461,0.390626508350227,0.69799208417801,0.387618230414928,1.0077609299544
women-coded,overall,32,20519,20519,7929,14033,0.386422340269994,0.683902724304303,0.387618230414928,0.996914773219891
women-coded,overall,33,20065,20065,7738,13565,0.385646648392724,0.676052828307999,0.387618230414928,0.994913598310136
women-coded,overall,34,19377,19377,7387,13165,0.381225163854054,0.679413737936729,0.387618230414928,0.983506795967695
women-coded,overall,35,18820,18820,7064,12508,0.375345377258236,0.66461211477152,0.387618230414928,0.968337781369171
women-coded,overall,36,18059,18059,6792,11750,0.376100559277922,0.650645107702531,0.387618230414928,0.970286043758373
women-coded,overall,37,17251,17251,6337,10951,0.367341023708771,0.634803779491044,0.387618230414928,0.947687685678633
women-coded,overall,38,16424,16424,6075,10459,0.369885533365806,0.636811982464686,0.387618230414928,0.954252159321454
women-coded,overall,39,15634,15634,5851,9893,0.374248432902648,0.63278751439171,0.387618230414928,0.965507820677143
women-coded,overall,40,14786,14786,5554,9477,0.375625591776004,0.640944136345191,0.387618230414928,0.969060695039843
women-coded,overall,41,13972,13972,5317,9101,0.380546807901517,0.651374176925279,0.387618230414928,0.981756733923889
women-coded,overall,42,13442,13442,5184,8684,0.385656896295194,0.646034816247582,0.387618230414928,0.994940036443501
women-coded,overall,43,12826,12826,4862,8226,0.379073756432247,0.6413535007017,0.387618230414928,0.977956470278669
women-coded,overall,44,12207,12207,4647,7893,0.380683214549029,0.646596215286311,0.387618230414928,0.982108643707301
women-coded,overall,45,11673,11673,4481,7601,0.383877323738542,0.651160798423713,0.387618230414928,0.990348991913043
women-coded,overall,46,11130,11130,4214,7091,0.378616352201258,0.637106918238994,0.387618230414928,0.976776432305482
women-coded,overall,47,10588,10588,3970,6679,0.374952776728372,0.630808462410276,0.387618230414928,0.967324927743985
women-coded,overall,48,10009,10009,3817,6482,0.381356778898991,0.647617144569887,0.387618230414928,0.983846344096781
women-coded,overall,49,9493,9493,3607,6078,0.379964184135679,0.640261245127989,0.387618230414928,0.9802536473296
women-coded,overall,50,9102,9102,3437,5660,0.377609316633707,0.621841353548671,0.387618230414928,0.974178423521238
women-coded,overall,51,8606,8606,3328,5532,0.386706948640483,0.642807343713688,0.387618230414928,0.997649022406739
women-coded,overall,52,8181,8181,3145,5294,0.384427331622051,0.647109155359981,0.387618230414928,0.991767934161761
women-coded,overall,53,7902,7902,3031,5022,0.38357377879018,0.635535307517084,0.387618230414928,0.98956588904392
women-coded,overall,54,7544,7544,2817,4700,0.373409331919406,0.623011664899258,0.387618230414928,0.963343059276876
women-coded,overall,55,7183,7183,2637,4286,0.36711680356397,0.596686621188918,0.387618230414928,0.947109229540076
women-coded,overall,56,6815,6815,2444,3981,0.358620689655172,0.584152604548789,0.387618230414928,0.925190461943146
women-coded,overall,57,6489,6489,2349,3805,0.361997226074896,0.586376945600247,0.387618230414928,0.93390144650161
women-coded,overall,58,6143,6143,2172,3477,0.353573172716914,0.56601009278854,0.387618230414928,0.912168584894547
women-coded,overall,59,5883,5883,2047,3355,0.347951725310216,0.570287268400476,0.387618230414928,0.897666048724666
women-coded,overall,60,5610,5610,1951,3087,0.34777183600713,0.550267379679144,0.387618230414928,0.89720195986359
women-coded,overall,61,5321,5321,1901,3043,0.35726367224206,0.571884984025559,0.387618230414928,0.921689549688168
women-coded,overall,62,5065,5065,1694,2707,0.334452122408687,0.534452122408687,0.387618230414928,0.862838989927462
women-coded,overall,63,4830,4830,1678,2669,0.347412008281574,0.552587991718427,0.387618230414928,0.896273655420397
women-coded,overall,64,4632,4632,1546,2431,0.333765112262522,0.524827288428325,0.387618230414928,0.861066601292825
women-coded,overall,65,4432,4432,1527,2383,0.344539711191336,0.537680505415163,0.387618230414928,0.888863536739542
women-coded,overall,66,4228,4228,1399,2174,0.330889309366131,0.514191106906339,0.387618230414928,0.853647438129853
women-coded,overall,67,4001,4001,1285,2032,0.321169707573107,0.507873031742065,0.387618230414928,0.828572245503801
women-coded,overall,68,3799,3799,1235,1876,0.325085548828639,0.493814161621479,0.387618230414928,0.838674559967547
women-coded,overall,69,3576,3576,1112,1704,0.310961968680089,0.476510067114094,0.387618230414928,0.802237728466018
women-coded,overall,70,3465,3465,1099,1635,0.317171717171717,0.471861471861472,0.387618230414928,0.818257997907371
women-coded,overall,71,3298,3298,993,1447,0.301091570648878,0.438750758035173,0.387618230414928,0.77677350295566
women-coded,overall,72,3117,3117,961,1399,0.308309271735643,0.448829002245749,0.387618230414928,0.79539414698223
women-coded,overall,73,2986,2986,915,1337,0.306430006697924,0.44775619557937,0.387618230414928,0.790545910005068
women-coded,overall,74,2837,2837,788,1124,0.277758195276701,0.396193161790624,0.387618230414928,0.716576707394213
women-coded,overall,75,2670,2670,746,1088,0.27940074906367,0.40749063670412,0.387618230414928,0.720814262952968
women-coded,overall,76,2479,2479,692,957,0.279144816458249,0.386042759177088,0.387618230414928,0.72015399316858
women-coded,overall,77,2317,2317,618,877,0.266724212343548,0.378506689684937,0.387618230414928,0.688110598043934
women-coded,overall,78,2143,2143,562,788,0.262249183387774,0.367708819412039,0.387618230414928,0.676565658707662
women-coded,overall,79,1964,1964,508,700,0.258655804480652,0.356415478615071,0.387618230414928,0.667295251319248
women-coded,overall,80,1790,1790,462,615,0.258100558659218,0.343575418994413,0.387618230414928,0.665862795934372
men-coded,television,19,1739,1739,957,1359,0.550316273720529,0.781483611270845,0.357376027909295,1.53988021227939
men-coded,television,20,2885,2885,1331,1911,0.461351819757366,0.662391681109185,0.357376027909295,1.29094226732651
men-coded,television,21,4000,4000,1619,2280,0.40475,0.57,0.357376027909295,1.13256057595091
men-coded,television,22,5244,5244,1979,2857,0.377383676582761,0.544813119755912,0.357376027909295,1.05598486499085
men-coded,television,23,6651,6651,2381,3435,0.357991279506841,0.516463689670726,0.357376027909295,1.00172158049085
men-coded,television,24,7836,7836,2795,4116,0.356687085247575,0.525267993874426,0.357376027909295,0.998072219153171
men-coded,television,25,9145,9145,3294,5022,0.360196828868234,0.549152542372881,0.357376027909295,1.00789308945942
