scope,age,women_retention,men_retention,retention_ratio
television,39,0.987247158108909,1.02316594409625,0.964894466831509
television,40,0.983773205037162,1.03275502572145,0.952571694676505
television,41,1.00810702580688,1.02777763277033,0.9808610283623
television,42,1.03208335973373,1.04251477864284,0.989993984619878
television,43,1.00462180470874,1.0239949054315,0.981080862199609
television,44,1.00892221860614,1.03772706388879,0.972242368648744
television,45,1.03201203305847,1.01677533146596,1.01498531791732
television,46,1.00936897377861,1.01467147137466,0.994774172975547
television,47,0.991487735598632,1.03311377782016,0.959708172405404
television,48,1.012335736812,1.0113235939801,1.00100081006507
television,49,1.00854436516765,1.01479625332626,0.993839267598675
television,50,0.993804728717062,1.0192785303446,0.975008007262813
television,51,1.00820775498993,1.01116873621748,0.997071723915609
television,52,1.01030315369197,1.00541928093504,1.00485754833783
television,53,0.992855577077472,0.997154944361193,0.995688365877306
television,54,0.981099978228529,0.993766983535908,0.987253545833945
television,55,0.980629584463392,0.960505087406133,1.02095199423837
television,56,0.931377794160949,0.968171692596209,0.961996514960487
television,57,0.942760802156867,0.952069632673645,0.990222531842932
television,58,0.930897780076186,0.946039221615491,0.983994911422965
television,59,0.92527215180918,0.952952380500788,0.97095318794727
television,60,0.925822312352065,0.93880180018655,0.986174411007834
television,61,0.939231695718486,0.925132175708062,1.01524054657339
television,62,0.907688006646707,0.918394813504661,0.988341825650021
television,63,0.912608755570916,0.902828570670394,1.01083282609594
television,64,0.901654657261108,0.885362560192547,1.01840161059557
television,65,0.932408503230952,0.840446551477145,1.10942034516315
television,66,0.890719977428165,0.840283037399577,1.06002375126443
television,67,0.860819536099029,0.804299011355631,1.07027302526225
television,68,0.845803591634192,0.807641875087219,1.04725078989107
television,69,0.830847672293222,0.779765516528195,1.06550963678474
television,70,0.836936587785224,0.770673314823262,1.0859810138582
television,71,0.822633413417621,0.750390447649558,1.09627383450089
television,72,0.822823311992126,0.743886470644738,1.10611409732855
television,73,0.802389002718161,0.730784312852461,1.09798334283642
television,74,0.733527893596,0.710596107549059,1.03227119569517
television,75,0.735140476555877,0.701487059196234,1.04797439513453
television,76,0.75919917546527,0.682550329223492,1.11229772071018
television,77,0.741678102917397,0.702912702775986,1.05514966508404
television,78,0.669652971811115,0.700420270461066,0.956073089332926
television,79,0.642277944794447,0.664700131427389,0.96626721498491
television,80,0.687536837610907,0.587177488349316,1.17091825087458
